train_acc	test_acc	F1_train_acc	F1_test_acc
70.5910390848427	75.14285714285714	80.83255669462567	80.83255669462567
71.78265014299333	76.0	80.71661237785015	80.71661237785015
72.73593898951383	77.14285714285715	81.30718954248366	81.30718954248366
72.97426120114395	77.14285714285715	81.50081566068515	81.50081566068515
73.73689227836034	76.57142857142857	81.72470978441127	81.72470978441127
75.11916110581505	74.42857142857143	83.07392996108949	83.07392996108949
76.45376549094377	76.0	83.7393021724819	83.7393021724819
78.0743565300286	74.71428571428571	84.3856076035302	84.3856076035302
79.83794089609152	75.0	85.86702305379218	85.86702305379218
81.83984747378456	75.0	87.37156115346369	87.37156115346369
83.2697807435653	75.0	88.33499501495513	88.33499501495513
84.7950428979981	74.42857142857143	89.29170862705605	89.29170862705605
85.93898951382269	74.71428571428571	90.09069533086999	90.09069533086999
87.17826501429933	73.0	90.92136348295647	90.92136348295647
88.51286939942803	70.85714285714285	91.78315717695192	91.78315717695192
89.37082936129647	69.71428571428572	92.33413544173256	92.33413544173256
90.94375595805529	68.28571428571428	93.38900487125957	93.38900487125957
91.94470924690181	69.0	94.1623488773748	94.1623488773748
92.56434699714013	68.42857142857143	94.57579972183588	94.57579972183588
93.32697807435653	67.42857142857143	95.09803921568627	95.09803921568627
93.94661582459484	67.14285714285714	95.52028218694886	95.52028218694886
94.70924690181126	66.42857142857143	96.03995718872636	96.03995718872636
95.51954242135366	66.71428571428571	96.65242165242164	96.65242165242164
96.18684461391803	66.28571428571428	97.13672154617036	97.13672154617036
96.75881792183031	65.28571428571428	97.55571531272467	97.55571531272467
